,Town,Region,Country,Town Code,Website,Phone,Postal Code,Mayor,Population,Area,Altitude,LAT,LONG,URL,Inhabitants/Km2
0,El Encanto,Amazonas,Colombia,91263,N/A,N/A,913018,Mary Sofía Muñoz Romero,4376,11251.0,147,-1.67792,-73.2288,https://www.municipio.com.co/corregimiento-departamental-el-encanto.html,0.4
1,La Chorrera,Amazonas,Colombia,91405,N/A,N/A,914057,N/A,3337,12517.0,152,-1.45,-72.583,https://www.municipio.com.co/corregimiento-departamental-la-chorrera.html,0.3
2,Puerto Nariño,Amazonas,Colombia,91540,http://www.puertonarino-amazonas.gov.co,+5785223010,911010,Nelso Ruiz Ahue,6816,1475.0,96,-3.76286,-70.3745,https://www.municipio.com.co/municipio-puerto-narino.html,4.6
3,Mirití-Paraná,Amazonas,Colombia,N/A,N/A,N/A,N/A,José Ávila Yucuna Matapi,1613,16864.0,116,-0.883461,-70.9835,https://www.municipio.com.co/corregimiento-departamental-miriti-parana.html,0.1
4,Tarapacá,Amazonas,Colombia,91798,N/A,N/A,911030,Flor Ángela Martínez Bernardino,3100,9153.0,54,-2.867,-69.733,https://www.municipio.com.co/corregimiento-departamental-tarapaca.html,0.3
5,La Pedrera,Amazonas,Colombia,91407,N/A,N/A,917018,Nilda Elena Moncayo Matapi,3711,13945.0,119,-1.25,-69.6,https://www.municipio.com.co/corregimiento-departamental-la-pedrera.html,0.3
6,Leticia,Amazonas,Colombia,91001,http://www.leticia-amazonas.gov.co,+5785928064,910008,Jose Huber Araujo Nieto,32450,5832.0,80,-4.2081,-69.9432,https://www.municipio.com.co/municipio-leticia.html,5.6
7,Puerto Santander,Amazonas,Colombia,91669,N/A,N/A,915018,N/A,2295,14885.0,172,-0.625178,-72.3855,https://www.municipio.com.co/corregimiento-departamental-puerto-santander-ama.html,0.2
8,Recetor,Casanare,Colombia,85279,http://www.recetor-casanare.gov.co,+5786351007,856057,Leticia Palacios Bernal,1544,179.0,935,5.233,-72.767,https://www.municipio.com.co/municipio-recetor.html,8.6
9,La Salina,Casanare,Colombia,85136,http://www.lasalina-casanare.gov.co,+5786361192,851017,Pedro Vicente Salamanca,1236,194.0,1573,6.133,-72.333,https://www.municipio.com.co/municipio-la-salina.html,6.4
10,Arauca,Arauca,Colombia,81001,http://www.arauca-arauca.gov.co,+5778853156,810007,Benjamin Socadagui Cermeño,68222,5751.0,125,7.083,-70.75,https://www.municipio.com.co/municipio-arauca.html,11.9
11,Tame,Arauca,Colombia,81794,http://www.tame-arauca.gov.co,+5778886129,814018,Hernan Dario Camacho Sarmiento ,23557,5542.0,292,6.45,-71.733,https://www.municipio.com.co/municipio-tame.html,4.3
12,Arauquita,Arauca,Colombia,81065,http://www.arauquita-arauca.gov.co,+5778836176,816010,Renson De Jesus Martinez Prada,15951,3060.0,166,7.017,-71.417,https://www.municipio.com.co/municipio-arauquita.html,5.2
13,Fortul,Arauca,Colombia,81300,http://fortul-arauca.gov.co,+5774754819,814050,Javier Alonso Cabrera Huertas,4393,1024.0,243,6.783,-71.767,https://www.municipio.com.co/municipio-fortul.html,4.3
14,Saravena,Arauca,Colombia,81736,http://www.saravena-arauca.gov.co,+5778892055,815018,Yecid Lozano Fernandez,35279,907.0,223,6.95574,-71.8809,https://www.municipio.com.co/municipio-saravena.html,38.9
15,Cravo Norte,Arauca,Colombia,81220,http://www.cravonorte-arauca.gov.co,+5778889063,812018,Iván Yesid Hidalgo Martínez,2970,5221.0,100,6.3,-70.2,https://www.municipio.com.co/municipio-cravo-norte.html,0.6
16,Puerto Rondón,Arauca,Colombia,81591,http://www.puertorondon-arauca.gov.co,+5778897190,813018,Roberto Alexis Alferes,2656,2313.0,125,6.267,-71.083,https://www.municipio.com.co/municipio-puerto-rondon.html,1.1
17,Monterrey,Casanare,Colombia,85162,http://monterrey-casanare.gov.co,+5786249424,855017,Orlando Martinez Ávila,11421,759.0,439,4.87615,-72.8971,https://www.municipio.com.co/municipio-monterrey.html,15.0
18,Pore,Casanare,Colombia,85263,http://www.pore-casanare.gov.co,+5786388007,852057,Omar Cuevas Bernal ,7490,786.0,270,5.733,-71.983,https://www.municipio.com.co/municipio-pore.html,9.5
19,Santander de Quilichao,Cauca,Colombia,19698,http://santanderdequilichao-cauca.gov.co,+5728292293,191049,Lucy Amparo Guzmán González,80653,444.0,1035,3.017,-76.483,https://www.municipio.com.co/municipio-santander-de-quilichao.html,181.7
20,Popayán,Cauca,Colombia,19001,http://www.popayan-cauca.gov.co,+5728244802,190007,Cesar Cristian Gomez Castro,258653,464.0,1750,2.433,-76.617,https://www.municipio.com.co/municipio-popayan.html,557.4
21,Puerto Alegría,Amazonas,Colombia,91530,N/A,N/A,913050,Nini Ingrid Camacho Stella,1513,8774.0,156,-1.02622,-74.0486,https://www.municipio.com.co/corregimiento-departamental-puerto-alegria.html,0.2
22,Puerto Arica,Amazonas,Colombia,91536,N/A,N/A,912017,Jadivis Mozombite,1343,13526.0,96,-2.133,-71.733,https://www.municipio.com.co/corregimiento-departamental-puerto-arica.html,0.1
23,Tauramena,Casanare,Colombia,85410,http://www.tauramena-casanare.gov.co,+5786247113,854030,Tele Wosbon Amaya Zorro,15896,2391.0,450,5.017,-72.75,https://www.municipio.com.co/municipio-tauramena.html,6.6
